rec
673493
419134
613414
552311
778769
499836
702018
643873
905611
598767
836419
741922
1061435
709276
955454
905058
1292720
833853
1060402
1021435
1454638
938614
1254853
1203803
1819550
1173947
1536401
1420605
2014245
1247369
1647580
1445829
2110800
1415324
1831132
1746377
2451472
1628285
2020097
1943288
2834871
1892117
2292004
2225755
3178561
1863761
808506
1790039
3074874
