dol
0.1668
0.2317
0.3321
0.4736
0.6819
0.9625
0.9365
0.886
0.853
0.8445
0.8485
0.847
0.8405
0.8505
0.9
0.9175
0.9055
0.9193
0.9351
0.9492
0.9529
0.9615
0.966
0.9719
0.978
0.9845
0.9877
0.992
0.9983
1.0042
1.0143
1.0165
1.0212
1.0275
1.0327
1.0391
1.0457
1.051
1.0608
1.0635
1.0703
1.0765
1.0829
1.0917
1.096
1.1026
1.109
1.116
1.1231
1.13
1.137
1.1435
1.1505
1.1566
1.1629
1.1768
1.1843
1.193
1.2015
1.2083
2.085
2.035
1.7175
1.6655
1.72
1.753
1.803
1.918
1.937
1.948
1.923
1.8055
1.784
1.768
1.7395
1.805
1.824
1.807
1.7835
1.8235
1.8435
1.9
1.9795
1.95
1.971
2.0463
2.153
2.201
2.381
2.3105
2.473
2.564
2.67
2.696
2.495
2.311
2.413
2.365
2.325
2.361
2.518
2.8175
3.46
3.0075
3.76
3.65
3.653
3.54
3.504
3.57
3.364
2.911
2.9735
2.837
2.9675
2.9785
2.8925
2.8665
2.9465
2.8915
2.9345
2.906
2.896
2.931
3.189
3.086
3.0375
2.927
2.8595
2.8592
2.72
2.656
2.6088
2.5895
2.68
2.5282
2.4095
2.3364
2.38
2.3555
2.2275
2.2518
2.2035
2.3383
2.212
2.1235
2.164
2.087
2.3051
2.1659
2.1775
2.1434
2.1743
2.1428
2.165
2.1365
2.124
2.1204
2.059
2.0348
1.9205
1.929
1.882
1.9681
1.833
1.7368
1.7982
1.78
1.7588
1.6914
1.7564
1.6622
1.6265
1.6041
1.567
1.63
1.9066
2.1642
2.3035
2.3145
2.32
2.3914
2.3169
2.1898
1.9715
1.9525
1.865
1.8802
1.7715
1.7635
1.7555
1.743
1.885
1.8072
1.7836
1.7375
1.82
1.8039
1.754
1.7548
1.6871
1.7007
1.7145
1.6593
1.667
1.6635
1.6315
1.5765
1.5795
1.5617
1.5485
1.5887
1.8785
1.7167
1.8078
1.8627
1.7463
1.7167
1.8257
1.908
2.0221
2.0092
2.0563
2.028
2.0255
2.0306
2.135
2.0475
1.9902
1.9795
2.0235
2.001
2.1418
2.2315
2.2764
2.3859
2.2156
2.239
2.3355
2.3618
2.4122
2.3381
2.2714
2.232
2.2403
2.2137
2.2634
2.2355
2.4449
2.4779
2.5651
2.657
2.6814
2.838
3.1947
3.014
3.1788
3.102
3.4204
3.6187
3.9478
3.8562
3.8675
3.9593
3.9973
4.0156
3.5925
3.4352
3.6105
3.2126
3.2471
3.2266
3.2589
3.1878
3.3827
3.2532
3.1507
3.1086
3.123
3.1758
3.2262
3.3063
3.1259
3.1474
3.1614
3.2724
3.2726
3.3121
3.1858
3.2458
3.3046
3.5066
3.7225
3.8765
3.7557
4.0545
4.0477
3.7218
3.8662
3.8804
3.6439
3.7511
3.9238
3.9207
3.9218
3.8518
3.8125
4.1445
4.1551
4.0174
4.2364
4.019
4.282
4.4733
5.2046
5.4858
5.3361
5.4661
5.224
5.4914
