ds;y
2020-02-10;1.502.581.563
2020-02-07;1.416.102.383
2020-02-06;935.573.088
2020-02-05;3.109.234.236
2020-02-04;1.292.001.137
2020-02-03;1.265.335.671
2020-01-31;55.548.270.092
2020-01-30;8.024.634.617
2020-01-29;3.351.387.454
2020-01-28;2.358.111.116
2020-01-27;1.944.475.773
2020-01-24;18.498.041.476
2020-01-23;4.307.784.557
2020-01-22;1.846.217.577
2020-01-21;2.439.570.416
2020-01-20;34.540.747.759
2020-01-17;8.774.488.243
2020-01-16;2.101.060.817
2020-01-15;5.018.093.330
2020-01-14;1.234.492.552
2020-01-13;1.373.851.162
2020-01-10;1.694.315.101
2020-01-09;1.415.214.986
2020-01-08;1.293.220.642
2020-01-07;1.438.981.631
2020-01-06;5.817.665.020
2020-01-03;1.152.734.053
2020-01-02;1.212.912.823
2019-12-31;4.042.789.015
2019-12-30;13.237.947.910
2019-12-27;4.754.976.882
2019-12-26;4.635.507.254
2019-12-24;6.646.500.840
2019-12-23;9.811.142.516
2019-12-20;45.269.393.279
2019-12-19;6.491.180.778
2019-12-18;3.821.560.786
2019-12-17;2.437.698.192
2019-12-16;2.425.369.835
2019-12-13;5.447.898.920
2019-12-12;1.630.802.245
2019-12-11;1.401.032.616
2019-12-10;1.666.492.221
2019-12-09;1.495.456.374
2019-12-06;1.639.739.518
2019-12-05;1.116.844.847
2019-12-04;8.680.048.521
2019-12-03;1.403.196.175
2019-12-02;1.898.368.094
2019-11-29;27.228.101.594
2019-11-28;3.233.637.555
2019-11-27;1.761.659.523
2019-11-26;1.296.599.853
2019-11-25;19.887.035.981
2019-11-22;2.227.250.924
2019-11-21;3.853.003.776
2019-11-20;14.485.019.819
2019-11-19;18.771.146.495
2019-11-18;3.468.853.990
2019-11-14;1.963.966.565
2019-11-13;3.302.166.700
2019-11-12;1.773.810.554
2019-11-11;1.040.383.797
2019-11-08;1.537.818.827
2019-11-07;1.398.413.526
2019-11-06;1.066.367.563
2019-11-05;3.522.535.404
2019-11-04;1.023.502.592
2019-11-01;967.984.533
2019-10-31;34.945.696.449
2019-10-30;4.889.650.753
2019-10-29;2.455.776.795
2019-10-28;1.753.983.431
2019-10-25;16.060.612.300
2019-10-24;2.145.713.322
2019-10-23;3.081.730.202
2019-10-22;1.363.054.482
2019-10-21;7.323.840.830
2019-10-18;27.720.052.170
2019-10-17;3.305.175.814
2019-10-16;1.630.087.786
2019-10-15;4.036.221.791
2019-10-14;2.189.819.180
2019-10-11;874.652.255
2019-10-10;1.467.332.244
2019-10-09;1.005.165.235
2019-10-08;1.058.503.183
2019-10-07;1.617.990.075
2019-10-04;877.529.807
2019-10-03;2.640.985.115
2019-10-02;1.023.418.150
2019-10-01;1.105.307.914
2019-09-30;21.682.832.600
2019-09-27;2.553.134.914
2019-09-26;1.370.418.118
2019-09-25;18.044.133.778
2019-09-24;2.318.153.089
2019-09-23;2.403.158.296
2019-09-20;29.490.783.036
2019-09-19;5.105.198.788
2019-09-18;1.972.700.396
2019-09-17;1.221.341.105
2019-09-16;1.710.160.737
2019-09-13;4.216.888.188
2019-09-12;924.609.098
2019-09-11;1.183.723.323
2019-09-10;1.426.785.967
2019-09-09;1.199.387.303
2019-09-06;978.230.765
2019-09-05;1.264.459.410
2019-09-04;3.200.827.702
2019-09-03;857.409.660
2019-09-02;1.245.225.073
2019-08-30;26.293.127.818
2019-08-29;2.989.743.604
2019-08-28;1.476.371.713
2019-08-27;1.258.214.028
2019-08-26;1.369.079.666
2019-08-23;17.701.210.643
2019-08-22;1.878.391.033
2019-08-21;1.667.530.700
2019-08-20;32.614.568.753
2019-08-19;4.510.158.157
2019-08-16;1.511.706.078
2019-08-15;1.469.049.968
2019-08-14;3.899.887.871
2019-08-13;1.002.254.269
2019-08-12;1.022.741.317
2019-08-09;1.491.724.984
2019-08-08;1.147.358.454
2019-08-07;1.082.622.932
2019-08-06;973.228.694
2019-08-05;3.046.727.771
2019-08-02;840.964.444
2019-08-01;964.065.246
2019-07-31;39.719.207.979
2019-07-30;4.379.692.808
2019-07-29;2.521.678.267
2019-07-26;1.453.699.564
2019-07-25;15.721.466.507
2019-07-24;3.677.208.237
2019-07-23;1.795.988.161
2019-07-22;6.214.587.715
2019-07-19;27.569.855.488
2019-07-18;3.464.898.655
2019-07-17;1.682.271.431
2019-07-16;1.227.204.726
2019-07-15;4.071.393.034
2019-07-12;1.864.103.997
2019-07-11;861.229.358
2019-07-10;2.017.258.048
2019-07-09;445.646.795
2019-07-08;803.074.253
2019-07-05;1.684.210.984
2019-07-04;910.782.328
2019-07-03;3.449.286.340
2019-07-02;1.219.412.548
2019-07-01;1.134.643.161
2019-06-28;20.475.556.447
2019-06-27;3.112.336.600
2019-06-26;2.076.713.535
2019-06-25;18.187.810.835
2019-06-24;2.370.353.875
2019-06-21;5.224.998.136
2019-06-19;29.602.994.956
2019-06-18;3.382.699.493
2019-06-17;2.181.293.550
2019-06-14;2.469.126.583
2019-06-13;2.378.852.497
2019-06-12;1.039.466.070
2019-06-11;786.154.552
2019-06-10;2.102.837.892
2019-06-07;1.124.722.029
2019-06-06;940.634.441
2019-06-05;8.485.609.329
2019-06-04;745.845.824
2019-06-03;1.115.016.542
2019-05-31;18.184.145.340
2019-05-30;2.662.594.697
2019-05-29;1.448.040.864
2019-05-28;1.349.604.204
2019-05-27;1.262.031.546
2019-05-24;15.706.002.857
2019-05-23;4.069.002.755
2019-05-22;1.671.796.383
2019-05-21;1.510.968.727
2019-05-20;33.776.670.503
2019-05-17;2.753.564.379
2019-05-16;1.800.959.657
2019-05-15;4.402.123.376
2019-05-14;1.811.871.537
2019-05-13;836.670.211
2019-05-10;1.330.062.696
2019-05-09;1.256.746.505
2019-05-08;1.191.433.280
2019-05-07;1.082.003.095
2019-05-06;2.920.241.266
2019-05-03;932.778.577
2019-05-02;1.496.071.594
2019-04-30;36.958.382.317
2019-04-29;5.580.643.124
