a;i;e;PIB
64362;16828834654;19219141687;334226
65088;17759446748;18825650957;331256
76074;16552228242;18372753965;344964
69600;17404503366;17682590623;356708
93241;15575357222;20879294760;355797
91071;14817847436;15207473207;333256
64139;15546907843;16729001375;334982
70984;17735261594;19277222996;347880
85155;18317800913;20161945930;349049
71534;19679803667;23199365887;366256
82726;19251134755;23683910083;370951
90247;19110922861;22245125706;373143
74607;22261138892;26148242211;376769
75100;20212024456;23279896966;361725
88737;19775115640;22120463148;378491
78966;21202832161;21764079481;389561
96625;18333431910;22119579867;391595
102579;17447420464;16068815622;367215
71902;16334451708;17997128340;367177
82367;18885646783;20866851083;392997
92628;18699061373;19549415067;381795
77971;20264119322;23201280483;400281
81107;18555490041;19340965719;398715
87947;18139149673;20982632833;414617
77074;19159157629;22366137466;419906
78215;17452583093;19974692566;393525
90516;20245123808;21724735819;422672
83707;20673385449;20467330620;423816
103246;17511131680;19737321572;423196
116066;20013308539;15961542921;414132
76051;16834341142;15543267737;398645
80113;19138599304;19308488676;427410
98714;21630002883;20627048032;438857
87860;21048222939;21819448969;439054
85681;18830624180;21126804222;442857
94294;22712863189;20800950742;458459
83957;20208165119;21421598606;452862
84212;18881649681;20844808826;438767
100998;23049601170;22817525747;466166
112518;19129391971;20854356184;465694
118365;18204461518;20841721097;473553
123667;20090904406;16022007486;455935
83143;18061415737;15927730957;450359
86625;17508716522;17616147895;462160
105885;19213175305;19720508764;468768
87897;20041159100;20747454107;473347
91387;18119252149;20461913631;458517
98816;21458551946;23020904817;481994
94377;19302292833;20460237817;477053
90721;20559338566;19612975989;476521
106216;19509541940;18321183349;493305
104472;18072035599;15640378217;489484
114744;17191459211;17422958199;499868
125282;16870914361;13685539814;472914
89982;14933060657;12085854219;460157
94112;16519082042;16974582658;501752
109241;14664925803;15146671341;486615
91500;14011848151;16763260821;483240
97091;15100239873;19618414393;486648
104868;16137780935;18530260092;502275
93738;12793930239;15479260926;492506
95239;13198695562;16121955297;496005
103530;14053830493;16004721968;518829
95461;12607215707;13784326015;513820
121502;10567475936;16776239795;521919
129385;10322817689;11237671888;490284
87851;10310002857;13342657735;491012
95779;11560680865;15991515695;516986
110895;10510187072;15371702452;508059
95219;11138188323;17568728661;513268
98129;12771343238;16737988800;536459
107416;11753856964;16327912914;532948
91808;12849081694;16982986270;534762
94770;11994668595;15800010272;509975
148801;11379593538;13715472582;525163
102245;11466276521;16217946018;541531
127607;11529133620;15937523014;565781
137392;12197816186;14908254032;526565
92358;10913271432;15468689520;514121
98994;12937672447;20073937574;544313
118047;10716655171;17679829041;525238
97694;12129014411;19789994972;548888
104100;12595233519;19779121415;556788
109948;12473405397;18758765145;557458
104206;13879233351;19470948763;555579
105595;13488327247;18659335519;528871
121144;13678843512;18871946607;549305
115089;13142506475;16683107767;566209
137842;12597515273;17595288111;588893
155619;14202766580;17027282678;555645
105122;14411341031;17410056953;528906
105659;13808687820;20228663253;560121
130806;13792173075;19712800434;559360
106192;13260789020;19325063725;547017
110855;14324850972;20114054526;580698
129615;18651023993;22524534227;583055
109751;18778067740;21552692723;582757
110664;14115911776;19187203958;556777
131880;16105955810;21897544885;591984
119420;16862252082;20939075942;593927
141529;12916748963;19345019377;603155
160426;16387829960;18001907016;578453
115062;12621762837;15737375000;567985
109854;13132998803;17428698480;579173
139030;13628618723;19281734438;592916
113278;14968051867;20592409187;604607
119946;13028629358;18406010533;598283
137735;17759476963;20150883169;627050
119951;15569921736;19669525248;616158
113933;16495171374;20298407777;614188
135202;17027283951;19576839231;640907
125161;14172102789;17736715198;634654
147501;12556086388;18502977191;647460
174991;16178224141;14494583508;619785
116430;13257290693;15582390653;608644
109718;14515656454;18347477151;615433
101154;11610871137;17612476835;543554
77415;13390915390;17546386795;560059
86258;10449294354;17514983082;605147
115990;11508172753;19453592020;631041
124505;11132508190;17484221076;629988
;;;
;;;
;;;
;;;
